 Init noise sample_rate tau1_init tau2_init sigma_init acc acc1 acc2 acc3
0 19 same tensor([16.]) 0.05017828941345215 0.24639028310775757 0.45958560705184937 0.64019376039505 0.6380374431610107 0.6354498267173767 0.6470939517021179
1 24 different tensor([16.]) 0.06463813781738281 0.13131624460220337 0.9375445246696472 0.627521276473999 0.6434116363525391 0.6240047812461853 0.6151472926139832
2 34 same tensor([16.]) 0.02126133441925049 0.17960035800933838 0.5979545712471008 0.6416533589363098 0.6446058750152588 0.6340565085411072 0.6462977528572083
3 42 same tensor([16.]) 0.08243274688720703 0.47328877449035645 0.6368114352226257 0.6013800501823425 0.5919585824012756 0.5943471193313599 0.6178343892097473
4 100 same tensor([16.]) 0.13672608137130737 0.3971853256225586 0.12926530838012695 0.5799164175987244 0.5985270738601685 0.5600119233131409 0.581210196018219
5 132 same tensor([128.]) 0.0062329769134521484 0.05201750993728638 0.9526714086532593 0.6372080445289612 0.6402269005775452 0.6273885369300842 0.6440087556838989
6 133 same tensor([64.]) 0.03869718313217163 0.3750187158584595 0.04790842533111572 0.6147491931915283 0.6071854829788208 0.6192277073860168 0.6178343892097473
7 148 same tensor([512.]) 0.003180563449859619 0.35951220989227295 0.5424064993858337 0.5902003645896912 0.5760350227355957 0.6000199317932129 0.5945461988449097
8 168 different tensor([32.]) 0.013934493064880371 0.8906545042991638 0.057476580142974854 0.6778131127357483 0.6739649772644043 0.6777468323707581 0.6817277073860168
9 189 different tensor([32.]) 0.018912315368652344 0.661268949508667 0.06632357835769653 0.6736332774162292 0.6761544346809387 0.6768510937690735 0.6678941249847412
10 214 different tensor([32.]) 0.015401840209960938 0.033100008964538574 0.41034847497940063 0.6448380947113037 0.6445063948631287 0.6327627301216125 0.6572452187538147
11 269 same tensor([16.]) 0.03426772356033325 0.5406294465065002 0.006826639175415039 0.722531795501709 0.7332802414894104 0.718949019908905 0.7153662443161011
12 294 same tensor([64.]) 0.03708523511886597 0.6434839963912964 0.005143404006958008 0.6980493664741516 0.6935708522796631 0.7042197585105896 0.6963574886322021
13 296 different tensor([128.]) 0.00895678997039795 0.05980038642883301 0.6825498342514038 0.6370090246200562 0.6445063948631287 0.6340565085411072 0.6324641704559326
14 300 different tensor([128.]) 0.011814534664154053 0.294166624546051 0.43084394931793213 0.6235070824623108 0.628284215927124 0.6292794346809387 0.612957775592804
